date,Year_Month,open,high,low,close,volume,avg_vol_20d,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY
2002/5/2,5-2002,1086.46,1091.42,1079.46,1084.5601,1364000000,1332660000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/3,5-2002,1084.5601,1084.5601,1068.89,1073.4301,1284500000,1341375000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/6,5-2002,1073.4301,1075.96,1052.65,1052.67,1122600000,1342740000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/7,5-2002,1052.67,1058.67,1048.96,1049.49,1354700000,1348705000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/8,5-2002,1049.49,1088.92,1049.49,1088.85,1502000000,1351410000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/9,5-2002,1088.85,1088.85,1072.23,1073.01,1153000000,1333780000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/10,5-2002,1073.01,1075.4301,1053.9301,1054.99,1171900000,1328270000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/13,5-2002,1054.99,1074.84,1053.9,1074.5601,1088600000,1326680000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/14,5-2002,1074.5601,1097.71,1074.5601,1097.28,1414500000,1330340000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/15,5-2002,1097.28,1104.23,1088.9399,1091.0699,1420200000,1332505000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/16,5-2002,1091.0699,1099.29,1089.17,1098.23,1256600000,1327370000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/17,5-2002,1098.23,1106.59,1096.77,1106.59,1274400000,1331840000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
2002/5/20,5-2002,1106.59,1106.59,1090.61,1091.88,989800000,1322240000,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4
